year;municipality;concept;status;value
2011;Barcelona;GDP per inhabitant (index Catalonia=100);;145.1
2012;Barcelona;GDP per inhabitant (index Catalonia=100);;147.8
2013;Barcelona;GDP per inhabitant (index Catalonia=100);;147.5
2014;Barcelona;GDP per inhabitant (index Catalonia=100);;147.1
2015;Barcelona;GDP per inhabitant (index Catalonia=100);;145.3
2016;Barcelona;GDP per inhabitant (index Catalonia=100);;146.3
2017;Barcelona;GDP per inhabitant (index Catalonia=100);;145.6
2018;Barcelona;GDP per inhabitant (index Catalonia=100);;146.3
2019;Barcelona;GDP per inhabitant (index Catalonia=100);;148.1
2020;Barcelona;GDP per inhabitant (index Catalonia=100);;146.3
2021;Barcelona;GDP per inhabitant (index Catalonia=100);p;145.8
2022;Barcelona;GDP per inhabitant (index Catalonia=100);p;145.6
2023;Barcelona;GDP per inhabitant (index Catalonia=100);a;145.2